id,resourceType,title,description,startDate,endDate,Month,Year,Area/Region,Location,State 1,State 2-?,reference/s,EM-DAT?,Report,Journals,Databases,Websites,Newspaper,Missing data,Evacuated,Affected,Homeless,Injuries,Deaths,Insured Cost,Reported cost,Calls to SES,Train(s) damaged,Train(s) destroyed,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Bridge(s) damaged,Bridge(s) destroyed,Aircraft damaged,Aircraft destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Water vessel(s) damaged,Water vessel(s) destroyed,Business(es) damaged,Business(es) destroyed,Crop(s) destroyed,Livestock destroyed,Roads,Ports,Environmental,Male death,Female death,Children,Adults,Elderly,url,References,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
269,Flood,"Flood - Grafton, Kempsey and North Coast New South Wales","The development of a low-pressure system off the New South Wales North Coast caused torrential rain on 2 March, and dissipated into Queensland. Heavy rainfalls intensified over the following days, particularly in the Coffs Harbour and Port Macquarie regions.  River systems in the region were at capacity and tidal systems in correlation with the king tides caused further complexities with rising flood water. The following river systems were affected; Richmond, Clarence, Bellinger, Nambucca, Macleay, Hastings, Manning, Paterson and Hunter. The rising water exceeded levees in Kempsey and the traffic bridge at Kempsey peaked at a height of 6.9 m. Other significant damage included; 94 businesses with an estimated direct cost of $28,000 per business, streets closed to traffic and 100 people evacuated from the Mirriwina Gardens settlement (50 km north-west of Kempsey).  The Clarence River also threatened to exceed levees causing precautionary evacuations of more than 1000 people, including 80 patients from the Grafton Hospital. The Grafton levee bank was able to hold the water within the river system, which finally peaked at 7.75 m.  The effects of the flooding were wide spread and inundations and dislocation of services affected up to 28 local government areas.The Pacific Highway, the main route in many of these regions, was cut for several days. Rail services were also reported as suspended. Furthermore, reports of damage included; Yamba becoming isolated, Gladstone and Smithtown where sewerage infrastructure failed and Ulmarra (population of 470) was ordered to evacuate. Bellingen, Thora, Kaland and Darkwood, South West Rocks, Hat Head, and Crescent Head were isolated and required food and medical drops by helicopter.  The response units included; State Emergency Services (SES) a contingent of 1300 volunteers from 83 units, Rural Fire Service (RFS), New South Wales Fire Brigade (NSWFB), Volunteer Rescue Association (VRA), Police, and Council workers. Additional supporting equipment used in the response included; ten heavy tankers, 12 flood boats, and 11 helicopters.  Estimated costs to roads and bridges was $3 million, water and sewerage infrastructure $500,000.  The enormity of the recovery resulted in the Premier establishing a Government Task Force to coordinate the operation. Brigadier Philip McNamara was appointed the regional coordinator for the recovery, and was based in Coffs Harbour. The Insurance Council of Australia estimated the 2001 damage at $25 million, with the 2011 estimated normalised cost of $45 million.",5/03/2001,12/03/2001,March,2001,"Grafton, Kempsey and North Coast New South Wales",New South Wales,New South Wales,,Pfstier (2002); ICA; wiki; newspaper ; EM-DAT *3 deaths?*,40,,,,,,,3000,,250,10,2,25000000,80000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=269,Pfstier (2002),ICA,15,20,26,38,,,,,,,,wiki,newspaper ,
,Heatwave,SAME EVENT AS BELOW?,,,1/01/2001,January,2001,,Victoria,Victoria,,wiki,,,,,,,1,100000,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heatwave,,,,1/01/2001,January,2001,South Australia,South Australia,South Australia,,wiki,,,,,,,2,100000,,,300,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heatwave,,,,1/12/2001,December,2001,Central and South Queensland,Queensland,Queensland,,wiki; PDF - newspaper,,,,,,,2,,,,700,6,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,wiki,,5,,,,,,,,,,,,,
520,Severe Storm,Severe Storm - Dubbo,"On 6 January 2001 areas of Dubbo (Central Western Slopes) experienced a very severe thunderstorm late in the day. Damage from strong winds, large hailstones and flash flooding occurred. Approximately 50 mm of rain and hail was recorded in around thirty minutes and wind gusts of up to 130 km per hour resulted in hundreds of falling trees. It was estimated 400 buildings and 150 motor vehicles were damaged. Dubbo was declared a natural disaster area.  The Insurance Council of Australia estimated the 2001 damage at $15 million, with the 2011 estimated normalised cost of $28 million.",6/01/2001,6/01/2001,January,2001,Dubbo,New South Wales,New South Wales,,wiki; ICA; PDF newspaper; http://www.bom.gov.au/nsw/sevwx/0001summ.shtml,,,,,,,,,10000,,,,15000000,100000000,500,,,400,,,,,,,,150,,,,,,,,,,,,,,,,,wiki,ICA,5,10,25,,,,,,,,,PDF newspaper,,
88,Severe Storm,Severe Storm/flood - Sydney and Region 2001,"On 15 January 2001, maximum temperatures reached 46 &deg;C degrees at the Sydney suburb of Penrith before a cool change moved through with accompanying wind gusts up to 113 km per hour. The wind impacted Sydney's metropolitan area, and caused considerable damage to property, trees and fences and thousands of homes lost electricity.  Affected regions of New South Wales were declared natural disaster areas. Residents from the regions of Shoalhaven to Sydney and the Lower Hunter met the criteria for emergency government assistance.  The Insurance Council of Australia estimated the 2001 damage at $12 million, with the 2011 estimated normalised cost of $24 million.",15/01/2001,15/01/2001,January,2001,Sydney and Region,New South Wales,New South Wales,,wiki; ICA; EM-Track; EM-DAT,22,,,,,,2,,230000,,50,1,12000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=88,wiki,ICA,5,10,20,,,,,,,,,EM-Track,,
354,Severe Storm,Severe Storm - Casino and Region,"On 17 January 2001, north-eastern New South Wales experienced a severe thunderstorm, with the worst impact occurring in the town of Casino. Heavy rain caused local flash flooding. Approximately 59 mm of rain was recorded including 31 mm in just ten minutes. Hailstones up to 7 cm were reported in some areas. Gale force winds in some instances exceeding 110 km per hour inflicted damage to 800 homes and 300 motor vehicles. Power lines fell, cutting power to the town. It is estimated that 30,000 properties lost power in the region as a result of the storm.  The Insurance Council of Australia estimated the 2001 damage at $35 million, with the 2011 estimated normalised cost of $65 million.",17/01/2001,17/01/2001,January,2001,Casino and Region,New South Wales,New South Wales,,wiki; ICA; EM-Track; EM-DAT; http://australiasevereweather.com/storm_news/2001/media/expressexaminer2001012409.jpg; http://www.bom.gov.au/nsw/sevwx/0001summ.shtml,22,,,,,,2,,10000,100,30,,35000000,,,,,800,,,,,,,,300,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=354,wiki,ICA,5,10,20,28,115,,,,,,,EM-Track,EM-DAT,http://australiasevereweather.com/storm_news/2001/media/expressexaminer2001012409.jpg
424,Severe Storm,Severe Storm - Eastern New South Wales,"On 18 November 2001, severe thunderstorms affected many parts of eastern New South Wales. Most of the impact was felt at Nelson Bay, where thunderstorms and tornadoes occurred with winds reaching up to 150 km per hour. It was reported more than 100 buildings were damaged and several boats destroyed.  Significant damage also occurred in the Lower Hunter Valley and the Sydney metropolitan regions of Penrith, Richmond and Horsley Park from strong wind gusts. Approximately 2000 homes and 200 cars were damaged and three people were killed.  Wisemans Ferry reported hail 3 cm in diameter. More hail similar in size occurred at Bundarra, Ben Lomond (Northern Tablelands), and in Canberra small hail fell in the northern suburbs on the afternoon on 18 November.  The Insurance Council of Australia estimated the 2001 damage at $30 million, with the 2011 estimated normalised cost of $99 million.",18/11/2001,21/11/2001,November,2001,Eastern New South Wales,New South Wales,New South Wales,,wiki; ICA; EM-Track; http://www.bom.gov.au/nsw/sevwx/0102summ.shtml,,,,,,,2,,370000,100,50,3,30000000,,,,,2000,,,100,,,,,200,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=424,wiki,ICA,5,10,20,,,,,,,,,EM-Track,,
136,Severe Storm,"Severe Storm - Sydney, Hunter Valley and Northern Regions","On 3 December 2001, severe thunderstorms hit a wide area of New South Wales with the most impact occurring in Sydney. A storm event moving at 80-100 km per hour produced a wind gust of 174 km per hour at the north western suburb of Richmond, which set a record as the highest wind gust ever recorded in mainland New South Wales. Other significant squalls were recorded,109 km per hour at Kurnell, 102 km per hour at Hornsby and at Gunnedah (north-west slopes) wind gusts of 137 km per hour caused damage to trees and buildings. Hail estimated to be 3 cm in diameter was reported at Pymble and 2 cm in diameter was also reported at Swansea in the Hunter Valley.  Two people died when a branch of a tree fell on their tent at Crosslands Reserve, Hornsby Heights, North Sydney.  The Insurance Council of Australia estimated the 2001 damage at $30 million, with the 2011 estimated normalised cost of $57 million.",3/12/2001,3/12/2001,December,2001,"Sydney, Hunter Valley and Northern Regions",New South Wales,New South Wales,,"Schuster et al.,2005; wiki; ICA;  EM-Track;",,,,,,,,,280000,,30,2,30000000,130000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=136,"Schuster et al.,2005",wiki,21,27,32,43,,,,,,,,ICA, EM-Track,
516,Bushfire,Bushfire - Sydney,"High temperatures combined with severe wind helped a fire get out of control at Engadine on 9 October 2002. The day was labelled a total fire ban day, however fire broke out and quickly spread causing significant damage to homes in Engadine. Other areas affected by fires included Llandilo, Richmond and Windsor-Castlereagh, Bilpin and Narrabri.  The Insurance Council of Australia estimated the 2002 damage at $25 million, with the 2011 estimated normalised cost&nbsp;of $43 million.",9/10/2002,9/10/2002,October,2002,Sydney,New South Wales,New South Wales,,ICA; wiki; EM-Track; http://www.smh.com.au/articles/2002/10/08/1033538936550.html; http://www.smh.com.au/articles/2002/10/09/1034061213414.html; http://www.abc.net.au/lateline/stories/s696503.htm; EM-DAT (2 deaths),198,,,,,,,200,,,,,25000000,50000000,,,,11,10,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=516,ICA,wiki,4,10,20,82,144,196,,,,,,EM-Track,http://www.smh.com.au/articles/2002/10/08/1033538936550.html,http://www.smh.com.au/articles/2002/10/09/1034061213414.html
,Bushfire,,"Most of the 2780 bushfires that occurred in 2002_03 had limited impact and were generally brought under control relatively quickly. Between 16 and 29 October, however, the Toowoomba Range, and Tara (west of Dalby)Ñin a matter of days. Such a three major fires occurred at different locationsÑthe Stanthorpe district, situation had not been experienced for a number of years, and together the fires burnt over 50 000 hectares and caused the death of one person and the destruction of a number of homes and buildings.",16/10/2002,29/10/2002,October,2002,Stanthorpe and Towoomba,Queensland,Queensland,,"BoM report - QLD bushfires; Ellis, Kanowski & Whelan 2004",,,,,,,2,2000,,,,1,,6500000,,,,,10,30,11,,,,,,,,,,,,,,,50000 Ha burnt,,,,,,,BoM report - QLD bushfires,,27,,,,,,,,,,,,,
,Severe Storm,Severe winds - Victoria,"In Victoria, strong winds again swept across Melbourne and central areas of the state, downing trees and powerlines and causing blackouts in the Dandenongs, Warburton, Leongatha, East Gippsland, and some northern and western suburbs of Melbourne. Top wind gusts included 141km/h at Wilsons Promintory, 121km/h at Mt Gellibrand near Colac, and 115km/h at Aireys Inlet, 40km SW of Geelong. A man was killed by falling branches while trying to clear a fallen tree on his farm at Neerim, north of Warragul in Gippsland. The SES responded to 1,300 calls across the state, and over 3,000 homes were blacked out during the gales. The Insurance Council of Australia has issued a preliminary estimate of the cost of wind damage over the past few weeks in Victoria of $8 million. Conditions inÊBass StraitÊare best left to the imagination, with Wilsons Promintory reporting gusts to 135km/h, and the Kingfish A oilrig reporting a gust of 117km/h over open water. InÊPort Phillip Bay, the AWS on South Channel Island reported a gust of 119km/h. The southbound Tasmanian ferry,ÊSpirit One,Êran into 7m seas when it cleared Port Phillip Heads around midnight, and was forced to turn around and return to Melbourne when an alarm on the ship's bow door signalled a possible problem. The northbound service,ÊSpirit Two, made its crossing from Devonport as scheduled.",2/09/2002,20/09/2002,September,2002,Gippsland,Victoria,Victoria,,wiki; http://www.australianweathernews.com/news/2002/09/20020918.htm; http://earthsci.unimelb.edu.au/Joyce/disasters/newinfo.html (list of news articles),,,,,,,2,,,,3,1,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiki,http://www.australianweathernews.com/news/2002/09/20020918.htm,5,69,,,,,,,,,,,,
522,Severe Storm,"Severe Storm - Grafton, Kingscliff and Lismore","On 16 January 2002 a severe thunderstorm developed south of Grafton and intensified as it moved north-east toward the coast. Hail and heavy rain were reported at Grafton and Lismore reported damaging winds, flash flooding and hail the size of golf balls. The storm was at its highest intensity as it crossed the coast at Kingscliff. Flash flooding, 7 cm hail and a tornado occurred. Damage was reported at Kingscliff and neighbouring Banora Point.  The Insurance Council of Australia estimated the 2002 damage at $10 million, with the 2011 estimated normalised cost of $36 million.",16/01/2002,16/01/2002,January,2002,"Grafton, Kingscliff and Lismore, Tweed Coast",New South Wales; Queensland,New South Wales,Queensland,wiki; ICA; EM-Track; http://www.bom.gov.au/nsw/sevwx/0102summ.shtml,,,,,,,2,,,,,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=522,wiki,ICA,5,10,20,,,,,,,,,EM-Track,,
384,Severe Storm,Severe Storm - Sydney Feb 2002,"A severe storm crossed the western suburbs of Sydney late in the afternoon of 16 February 2002 causing considerable damage. It moved in a north north-easterly direction at a speed of about 30 km per hour with very heavy rain and strong wind gusts. The strongest wind gust reported was 96 km per hour at Bankstown Airport. The SES received approximately 8000 requests for assistance. The Insurance Council of Australia estimated the 2002 damage at $10 million, with the 2011 estimated normalised cost of $19 million.",16/02/2002,16/02/2002,February,2002,Sydney,New South Wales,New South Wales,,"wiki; ICA; http://www.bom.gov.au/nsw/sevwx/0102summ.shtml; Schuster et al.,2005; PDF - newspaper; EM-Track; EM-DAT",109,,,,,,,,120000,,,4,10000000,19000000,8000,,,900,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=384,wiki,ICA,5,10,58,80,97,107,,,,,,http://www.bom.gov.au/nsw/sevwx/0102summ.shtml,"Schuster et al.,2005",PDF - newspaper
627,Bushfire,Bushfire - Canberra,"On 8 January 2003, a combination of extreme weather conditions (high temperatures of above 37 &ordm; C, low humidity, lightning strikes and strong gusty winds) caused multiple bushfires to break out in the Kosciuszko and Namadgi National parks surrounding Canberra.  On 18 January two fire fronts combined to create a 25 km fire front and wind gusts of up to 65 km per hour propelled the fire towards Canberra. The Chief Minister declared a state of emergency at 2.45 pm and the firestorm hit the outer streets of Duffy at approximately 3 pm, and soon reached the suburbs of Rivett, Chapman, Kambah, Higgins, Hawker and Cook.  Four people were killed by the fires, more than 435 people sustained injuries and there were 5000 evacuations. Approximately 160,000 hectares were burnt which equated to almost 70 per cent of the ACT's pasture, forests and nature parks including Namadgi National Park, Tidbinbilla Nature Reserve and all government pine forest west of the Murrumbidgee River Stromlo pine plantation. There were approximately 488 houses destroyed, and many more were damaged.  The Chief Minister and Cabinet Inquiry into the Operational Response to the January 2003 bushfires made 61 recommendations.  The Insurance Council of Australia estimated the 2003 damage at $350 million, with the 2011 estimated normalised cost of $660 million.",18/01/2003,19/01/2003,January,2003,Canberra,Australian Capital Territory,Australian Capital Territory,,wiki (page); ICA; http://www.smh.com.au/specials/canberraablaze/; EM-DAT,67,,,,,,2,5000,52500,100,435,4,350000000,,,,,>500,488,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=627,wiki (page),ICA,12,17,65,,,,,,,,,http://www.smh.com.au/specials/canberraablaze/,,
374,Bushfire,The Alpine Fires,"The Alpine bushfires started on 8 January 2003, a day of Total Fire Ban. Lightning ignited 87 fires in the North-East and East Gippsland regions. Eight of these fires were unable to be contained; they joined together to form the largest fire in Victoria since the Black Friday fires in 1939. More than 40 fires were also started in New South Wales and Australia Capital Territory.  The majority of the area burnt in Victoria was public land, 1.19 million hectares of parks and forests, including 60 per cent of the Alpine National Park and 81 per cent of the Mt Buffalo National Park. Fire fighting efforts were made difficult in hard to access, remote forest terrain. Approximately 90,000 hectares of private land was burnt. The fires burnt nearly 800,000 hectares in New South Wales and Australia Capital Territory, bringing the total of land affected throughout the Australian Alps to approximately 2 million hectares. The immediate effects of the fires included reduced water quality and quantity, loss of vegetation and habitats, destruction of commercial timber infrastructure, damage to recreation and tourism infrastructure assets and destruction of cultural sites and farms adjacent to public land.  A Ministerial Taskforce, appointed by the Victorian Premier, announced a funding package of $70.6 million for recovery works on public land associated with natural and cultural assets and support for agricultural private landowners affected by the fires. This was the biggest bushfire recovery effort ever undertaken in Victoria at the time. The Bushfire Recovery Program for the environment and agriculture focused on four areas:  1. Asset repair or replacement in parks, forests and alpine resorts ($24.9 million)  2. Protection and restoration of water catchments and water supply ($23.9 million)  3. Restoration of ecological and cultural heritage values ($13.2 million)  4. Providing practical assistance for affected farm enterprises ($8.6 million) Assets lost or damaged included; 41 houses, 213 other structures, three bridges and 10,000 livestock.  The Insurance Council of Australia estimated the 2003 damage for Victoria and New South Wales at $12 million, with the 2011 estimated normalised cost of $24 million.",8/01/2003,19/03/2003,January,2003,"North-Eastern Victoria, Alpine Region",Victoria; New South Wales,Victoria,New South Wales,wiki; ICA; http://www.theage.com.au/issues/bushfires/; PDF impact on streamflow; Bibliography (list of all references),,,,,,,2,,,,400,,12000000,,,,,,41,,213,,,,,,,,,,,,10000,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=374,wiki,ICA,5,10,54,80,,,,,,,,http://www.theage.com.au/issues/bushfires/,PDF impact on streamflow,
,Cyclone,Cyclone Beni,"The cyclone caused aÊfood shortageÊand flooded portions of theÊSolomon Islands. Across the island group, about 2,000 people took shelter, some in caves. In addition, the storm broughtÊstorm surgeÊandÊbeach erosionÊto Vanuatu. New Caledonia facedÊpower outagesÊand heavy rains. In Queensland, Beni was responsible severeÊflooding. Two communities were isolated during the storm; a total of 160Êpeople were also cut off by floodwater. The water level of one dam increased from 0.5% to 81%. The cyclone's heavy rains helped ease drought problems in Queensland; in fact, water reserves replenished five years worth of supply in one location. In all, one death was reported in Queensland and damages totaled toA$10Êmillion (US$6Êmillion, 2003 USD) in Queensland and US$1Êmillion (A$2Êmillion) in Vanuatu.",19/02/2003,5/03/2003,March,2003,Brisbane,Queensland,Queensland,,wiki (page); PDF newspaper; Callaghan - cyclone impacts; http://www.theage.com.au/articles/2003/02/07/1044579927077.html,,,,,,,2,,,,,1,,10000000,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,wiki (page),PDF newspaper,12,27,56,,,,,,,,,Callaghan - cyclone impacts,,
,Flood,Flood,"Heavy rainfall and a malfunction in the weir resulted in the Patawalonga breaking its banks atÊGlenelg NorthÊon Friday, 27 June 2003 and flooding the homes of local residents.[19]ÊThe situation became a major political issue with theÊLaborÊPremier,ÊMike Rann, declaring that he would establish a compensation fund for victims who had suffered water damage to their homes. A local newspaper report suggested that 160 homes were affected and the cause of the flooding was the gates to the weir being kept closed during a stormwater flood to protect yachts harboured in the Patawalonga Lake.[20]Ê145 residents made 150 claims upon the fund and at leastÊA$1.4mÊwas paid to the victims, ultimately, by weir operator Baulderstone Hornibrook.[21]ÊA class action was later launched by 70 residents for further compensation for 'stress and inconvenience'.",27/06/2003,27/06/2003,June,2003,Glenelg North,South Australia,South Australia,,wiki; http://www.abc.net.au/news/2003-06-28/flood-mop-up-continues-in-glenelg/1877812; ,,,,,,,2,,,,,,,20000000,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,wiki,http://www.abc.net.au/news/2003-06-28/flood-mop-up-continues-in-glenelg/1877812,5,86,,,,,,,,,,,,
,Heatwave,,,25/01/2003,1/02/2003,February,2003,Sydney,New South Wales,New South Wales,,PDF - newspaper,,,,,,,2,,,,60,~45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Severe Storm,Severe Storm - South Eastern Australia,"On 24 August 2003, a windstorm developed from an intense low pressure system over Tasmania and was felt along the eastern states from Victoria to New South Wales.  Tasmanian police removed trees blown on to roads by the strong winds on the Murchison Highway in Roseberry on the west coast, and a tree was moved off the Tasman Highway in Buckland on the east coast . Falling trees across power lines cut electricity to the Tasman Peninsula between Sorell and Nubeena.  Rain caused flooding over an extensive area of southern Tasmania and damaged the Buckland Bridge in Orford, which connects the east coast to the Midlands, to the point where it had to be closed for two days.  Police received approximately 400 calls for assistance, the majority from people in the Tasman Peninsula, Bruny Island, the Huon Valley and the east coast.  New South Wales  Sydney and Illawarra districts experienced gale force winds causing considerable damage to trees, boats, aircraft, buildings and power loss to 150,000 homes. Wind gusts reached 141 km per hour at Bellambi Point, 120 km per hour at Albion Park, Manly and Kurnell, 113 km per hour at Sydney Airport and 109 km per hour at Fort Denison. A man died when a tree fell on his car in St Ives. Three people were injured by falling trees in Mosman and Bathurst and another after falling from a roof in Wollongong. Two swimmers were apparently lost when they were blown out to sea off Curl Curl.  Australian Capital Territory  In Canberra strong winds tore roof tiles off houses, uprooted trees and brought down power lines. Canberra Airport reported a maximum wind gust of 93 km per hour.  Victoria  Heavy rain and strong winds caused trees to fall damaging several houses and cutting off major roads across Melbourne and in the north-east of the state, with the State Emergency Service responding to more than 1,500 calls for help.  Maximum wind gusts recorded on 24 August included 90 km per hour at Gelantipy, 91 km per hour at Cape Nelson, 93 km per hour at Mt Buller, 94 km per hour at Aireys Inlet, Cape Otway, Cerberus, Combienbar, Fawkner Beacon and Lookout Hill, 98 km per hour at Dunns Hill, Frankston and Mt Gellibrand. Wind damage occurred around Melbourne and in southern Victoria.  The Insurance Council of Australia estimated the 2003 damage at $25 million, with the 2011 estimated normalised cost of $39 million.",24/08/2003,24/08/2003,August,2003,South Eastern Australia,Australian Capital Territory;New South Wales;Victoria;Tasmania,Australian Capital Territory,New South Wales;Victoria;Tasmania,wiki; http://www.australianweathernews.com/news/2003/030824.SHTML; http://www.smh.com.au/articles/2003/08/25/1061663712244.html; NSW storms pg B-7,,,,,,,2,,250000,,4,1,25000000,,,,,100's,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=376,wiki,http://www.australianweathernews.com/news/2003/030824.SHTML,5,66,128,,,,,,,,,http://www.smh.com.au/articles/2003/08/25/1061663712244.html,,
,Severe Storm,Hail storm,"During Tuesday, storms were widespread through central VIC with radar showing intense but localised heavy rainfall and likely hail. Three such storms crossed or sideswiped the Melbourne metro area during the afternoon and early evening, with brief high rainfall rates and hail. A 20-minute hailstorm in the Lilydale/Mooroolbark area brought hail up to 3cm in diameter causing severe damage, including to about 350 cars in three car salesyards, as well as widespread damage to trees, buildings and other vehicles. A second storm in the same area later in the afternoon brought hail near softball size and caused flooding, closing Mt Lilydale College. The SES fielded 75 calls from homes and businesses in Doncaster, Croydon and Lilydale affected by flash flooding.",25/12/2003,25/12/2003,December,2003,Melbourne,Victoria,Victoria,,PDF; ICA; EM-DAT (flood and storm reported seperately); wiki; http://www.goauto.com.au/mellor/mellor.nsf/story2/3F2A2865F4BC000ECA257975001DB153; http://www.australianweathernews.com/news/2003/031203.SHTML; http://www.abc.net.au/news/2011-12-27/melbourne-storm-insurance/3748698; http://www.insuropedia.com/MelbourneStorms2003; storm insurance costs,11,,,,,,,,100000,,,,100000000,124000000,75,1,,3000,,,,,,,,10000,,,,,,,,,,,,,,,,,PDF,ICA,4,9,55,61,145,206,279,327,,,,EM-DAT (flood and storm reported seperately),wiki,http://www.goauto.com.au/mellor/mellor.nsf/story2/3F2A2865F4BC000ECA257975001DB153
,Heatwave,,,19/02/2004,21/02/2004,February,2004,Brisbane,Queensland,Queensland,,"PDF - newspaper; Narn and Fawcett (2013); Tong et al., 2010; Callaghan (storms)",,,,,,,2,,,,116,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF - newspaper,Narn and Fawcett (2013),16,41,60,,,,,,,,,"Tong et al., 2010",,
,Flood,,,8/12/2004,22/12/2004,December,2004,"Narrabri, Orange, Moree",New South Wales,New South Wales,,EM-DAT; http://www.abc.net.au/cgi-bin/common/printfriendly.pl?/news/australia/nsw/orange/200412/s1262551.htm; http://www.smh.com.au/news/National/Couple-swept-away-by-NSW-flash-flood/2004/12/09/1102182387206.html,1,,,,,,2,,,,,3,,15000000,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,EM-DAT,http://www.abc.net.au/cgi-bin/common/printfriendly.pl?/news/australia/nsw/orange/200412/s1262551.htm,7,109,,,,,,,,,,,,
,Flood,,,14/01/2004,25/02/2004,February,2004,SEQ; NE NSW,New South Wales; Queensland,New South Wales,Queensland,EM-DAT; newspaper,1,,,,,,2,,,,,,,32000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EM-DAT,,7,,,,,,,,,,,,,
,Severe Storm,,,29/01/2004,29/01/2004,January,2004,Melbourne,Victoria,Victoria,,ICA; wiki; EM-DAT; http://www.abc.net.au/am/content/2004/s1034635.htm; http://newsstore.theage.com.au/apps/viewDocument.ac?page=1&sy=age&kw=storm+and+melbourne&pb=all_ffx&dt=enterRange&dr=1month&sd=01%2F01%2F2004&ed=31%2F02%2F2004&so=relevance&sf=text&sf=headline&rc=10&rm=200&sp=adv&sc=asia+or+australia+or+boss+or+comment+opinion+or+editors+note+or+insight+or+perspective+or+supplement+or+news+or+features&clsPage=1&docID=AGE040131MVD0C0SO8QE; http://www.abc.net.au/news/2004-01-29/flash-flood-wreaks-havoc-in-melbourne/127580,12,,,,,,2,,,,,,18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICA,wiki,4,10,18,70,445,,,,,,,EM-DAT,http://www.abc.net.au/am/content/2004/s1034635.htm,http://newsstore.theage.com.au/apps/viewDocument.ac?page=1&sy=age&kw=storm+and+melbourne&pb=all_ffx&dt=enterRange&dr=1month&sd=01%2F01%2F2004&ed=31%2F02%2F2004&so=relevance&sf=text&sf=headline&rc=10&rm=200&sp=adv&sc=asia+or+australia+or+boss+or+comment+opinion+or+editors+note+or+insight+or+perspective+or+supplement+or+news+or+features&clsPage=1&docID=AGE040131MVD0C0SO8QE
377,Severe Storm,Hail - South-East Queensland,"From 24 to 26 January 2004, a ridge of high pressure extended south of Tasmania over to New Zealand. This placed Brisbane in a hot humid north to north westerly air stream for the week. These conditions produced a succession of severe thunderstorms causing widespread damage in south-east Queensland, particularly in Brisbane, Ipswich and the Gold and Sunshine Coasts. Towns affected included Currumbin, Coolangatta, Fortitude Valley, Woolloongabba, Oxley, Coorparoo, Warrick, Ipswich, Bundamba, Bellbowrie, Calliope, Jimboomba, Beaudesert, Gatton, Nanango, Archerfield, Toowoomba, Kawana Waters, Caloundra, Morerton Bay, Maryborough and Rockhampton.  The Amberley Royal Australian Air Force base recorded a wind gust of 111 km per hour and a sustained wind of 100 km per hour for a 10 minute period. Severe wind combined with large hailstorms caused widespread damage and houses were affected by fallen trees and debris. Furthermore, there was damage to infrastructure and 121,000 houses in the Brisbane area lost power.  The Insurance Council of Australia estimated the 2004 damage at $28.5 million, with the 2011 estimated normalised cost of $54 million.",24/01/2004,31/01/2004,January,2004,South-East Queensland,Queensland,Queensland,,EM-Track; EM-DAT; wiki; ICA; http://www.abc.net.au/news/2004-01-24/se-queensland-recovers-after-severe-storm/124700,11,,,,,,2,,,,3,1,28500000,,,,,121000,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=377,EM-Track,EM-DAT,9,17,23,28,,,,,,,,wiki,ICA,
